"","ID","longitude","latitude","species","sp","mlim","DBH","life_strategy","elevation","species_wood_density"
"182","11MDcau1",605299.0628,647325.9695,"Dipterocarpus caudiferus","Dcau",40,78.5,"Subcanopy",60.87,0.632142857142857
"183","11NDcau1",605474.1911,647429.4529,"Dipterocarpus caudiferus","Dcau",40,130,"Subcanopy",61.701,0.632142857142857
"184","11NDcau10",605361.8883,647276.3253,"Dipterocarpus caudiferus","Dcau",40,60.6,"Subcanopy",59.168,0.632142857142857
"185","11NDcau11",605356.3682,647267.1029,"Dipterocarpus caudiferus","Dcau",40,97.5,"Subcanopy",63.196,0.632142857142857
"186","11NDcau2",605536.9368,647420.3463,"Dipterocarpus caudiferus","Dcau",40,46.5,"Subcanopy",67.468,0.632142857142857
"187","11NDcau3",605507.4488,647403.7127,"Dipterocarpus caudiferus","Dcau",40,45,"Subcanopy",57.543,0.632142857142857
"188","11NDcau4",605511.1355,647403.719,"Dipterocarpus caudiferus","Dcau",40,54.2,"Subcanopy",58.918,0.632142857142857
"189","11NDcau5",605527.7206,647416.6455,"Dipterocarpus caudiferus","Dcau",40,91.8,"Subcanopy",68.773,0.632142857142857
"190","11NDcau6",605525.9468,647372.4197,"Dipterocarpus caudiferus","Dcau",40,90,"Subcanopy",57.688,0.632142857142857
"191","11NDcau7",605470.6683,647326.2604,"Dipterocarpus caudiferus","Dcau",40,43.5,"Subcanopy",61.779,0.632142857142857
"192","11NDcau8",605481.6521,647377.8723,"Dipterocarpus caudiferus","Dcau",40,56.1,"Subcanopy",66.136,0.632142857142857
"193","11NDcau9",605367.3084,647344.5113,"Dipterocarpus caudiferus","Dcau",40,78.5,"Subcanopy",67.35101,0.632142857142857
"194","11ODcau1",605703.8141,647381.9349,"Dipterocarpus caudiferus","Dcau",40,46.8,"Subcanopy",58.391,0.632142857142857
"195","11ODcau2",605670.7655,647284.5885,"Dipterocarpus caudiferus","Dcau",40,65.4,"Subcanopy",63.431,0.632142857142857
"196","11ODcau3",605570.9432,647390.5537,"Dipterocarpus caudiferus","Dcau",40,71,"Subcanopy",59.25,0.632142857142857
"197","12HDcau1",604420.962,647193.663,"Dipterocarpus caudiferus","Dcau",40,100,"Subcanopy",70.08601,0.632142857142857
"198","12HDcau2",604325.146,647110.5846,"Dipterocarpus caudiferus","Dcau",40,105.4,"Subcanopy",70.262,0.632142857142857
"199","12LDcau1",605013.3934,647126.4839,"Dipterocarpus caudiferus","Dcau",40,120,"Subcanopy",59.876,0.632142857142857
"200","12LDcau2",605050.3222,647109.9628,"Dipterocarpus caudiferus","Dcau",40,54,"Subcanopy",69.35001,0.632142857142857
"201","12LDcau3",605030.0036,647124.6693,"Dipterocarpus caudiferus","Dcau",40,49,"Subcanopy",63.169,0.632142857142857
